Sales Rep Assigned,Product Name,Product Num,Brand Family,Customer Num,Customer Name,Date,Placement Count   5/1/2026 - 7/31/2026,Placement Count   8/1/2026 - 8/31/2026,Cases   5/1/2026 - 7/31/2026,Cases   8/1/2026 - 8/31/2026
Chris Payton,Leyenda 1925 Reposado Tequila 1/750 ML Btl,200218,Leyenda 1925,47005,Exquisite W & L (A),8/13/2026,,1.00,,0.50
Chris Payton,Leyenda 1925 Blanco Tequila 1/750 ML Btl,200217,Leyenda 1925,47005,Exquisite W & L (A),8/13/2026,,1.00,,0.50
Chris Payton,Leyenda 1925 Reposado Tequila 1/750 ML Btl,200218,Leyenda 1925,23006,46 Discount Liquor Store,8/13/2026,,1.00,,0.50
Pablo Lopez,Leyenda 1925 Reposado Tequila 1/750 ML Btl,200218,Leyenda 1925,20051,Costambar Bar & Liquor Corp.,8/12/2026,,1.00,,0.17
Chris Payton,Leyenda 1925 Blanco Tequila 1/750 ML Btl,200217,Leyenda 1925,79002,Hollywd Liq&Deli (A),8/12/2026,,1.00,,0.33
Chris Payton,Leyenda 1925 Blanco Tequila 1/750 ML Btl,200217,Leyenda 1925,38019,Circle Liquors,8/12/2026,,1.00,,0.17
Shane Barreca,Green River Honey 1/10/50 mL Btl,201078,Bardstown Green River,74009,Westwood Wine and Liquors,8/12/2026,,1.00,,0.17
Pablo Lopez,Leyenda 1925 Blanco Tequila 1/750 ML Btl,200217,Leyenda 1925,20051,Costambar Bar & Liquor Corp.,8/12/2026,,1.00,,0.17
Chris Payton,Leyenda 1925 Reposado Tequila 1/750 ML Btl,200218,Leyenda 1925,79002,Hollywd Liq&Deli (A),8/12/2026,,1.00,,0.33
Chris Payton,Leyenda 1925 Reposado Tequila 1/750 ML Btl,200218,Leyenda 1925,38019,Circle Liquors,8/12/2026,,1.00,,0.17
Matt Powierski,Le Grand Noir Pinot Noir 1/12/750 mL Btl,100122,Le Grand Noir,42004,Wine And People,8/11/2026,,1.00,,2.00
Pablo Lopez,Leyenda 1925 Reposado Tequila 1/750 ML Btl,200218,Leyenda 1925,15040,Legacy Bar & Liquor,8/11/2026,,1.00,,0.17
Matt Powierski,Leyenda 1925 Reposado Tequila 1/750 ML Btl,200218,Leyenda 1925,42004,Wine And People,8/11/2026,,1.00,,0.33
Pablo Lopez,Leyenda 1925 Blanco Tequila 1/750 ML Btl,200217,Leyenda 1925,15040,Legacy Bar & Liquor,8/11/2026,,1.00,,0.17
Matt Powierski,Leyenda 1925 Anejo Tequila 1/750 ML Btl,200216,Leyenda 1925,42004,Wine And People,8/11/2026,,1.00,,0.17
Matt Powierski,Leyenda 1925 Blanco Tequila 1/750 ML Btl,200217,Leyenda 1925,42004,Wine And People,8/11/2026,,1.00,,0.50
Allison Scott,Leyenda 1925 Blanco Tequila 1/750 ML Btl,200217,Leyenda 1925,15006,Great Notch Inn(Z),8/7/2026,,1.00,,0.17
Robin Feldman,Leyenda 1925 Anejo Tequila 1/750 ML Btl,200216,Leyenda 1925,93018,Courtyard Mahwah,8/7/2026,,1.00,,0.17
Javier Melo,Leyenda 1925 Reposado Tequila 1/750 ML Btl,200218,Leyenda 1925,21044,Farm Boy,8/6/2026,,1.00,,0.33
Robin Feldman,Leyenda 1925 Blanco Tequila 1/750 ML Btl,200217,Leyenda 1925,34016,Vfw Hasbrouck (A),8/6/2026,,1.00,,0.17
Javier Melo,Leyenda 1925 Anejo Tequila 1/750 ML Btl,200216,Leyenda 1925,21044,Farm Boy,8/6/2026,,1.00,,0.33
Matt Powierski,Green River Honey 1/10/50 mL Btl,201078,Bardstown Green River,32017,Wine Grand (Carlstadt),8/6/2026,,1.00,,1.00
Jayson Romine,Le Grand Noir Pinot Noir 1/12/750 mL Btl,100122,Le Grand Noir,231701,George's Wine & Spirits,8/6/2026,,1.00,,3.00
Javier Melo,Leyenda 1925 Blanco Tequila 1/750 ML Btl,200217,Leyenda 1925,21044,Farm Boy,8/6/2026,,1.00,,0.33
Javier Melo,Green River Honey 1/10/50 mL Btl,201078,Bardstown Green River,25047,Parker Liquors (Z),8/5/2026,,1.00,,1.00
Klejdi Lamo,Green River Honey 1/10/50 mL Btl,201078,Bardstown Green River,190804,Midtown Liq,8/3/2026,,1.00,,0.17
Chris Payton,Leyenda 1925 Blanco Tequila 1/750 ML Btl,200217,Leyenda 1925,25045,Clifton Disc Liq (A),7/31/2026,1.00,,0.50,
Michael Harboy,Leyenda 1925 Reposado Tequila 1/750 ML Btl,200218,Leyenda 1925,11014,Wayne Liquor Locker,7/31/2026,1.00,,0.33,
Michael Harboy,Leyenda 1925 Blanco Tequila 1/750 ML Btl,200217,Leyenda 1925,11014,Wayne Liquor Locker,7/31/2026,1.00,,0.33,
Michael Harboy,Leyenda 1925 Blanco Tequila 1/750 ML Btl,200217,Leyenda 1925,11001,Lincoln Center Liq,7/31/2026,1.00,,0.50,
Michael Harboy,Leyenda 1925 Blanco Tequila 1/750 ML Btl,200217,Leyenda 1925,12005,Shay's Liquors,7/30/2026,1.00,,0.33,
Jayson Romine,Le Grand Noir Pinot Noir 1/12/750 mL Btl,100122,Le Grand Noir,230106,Burkes,7/30/2026,1.00,,1.00,
Michael Harboy,Leyenda 1925 Reposado Tequila 1/750 ML Btl,200218,Leyenda 1925,12005,Shay's Liquors,7/30/2026,1.00,,0.33,
Klejdi Lamo,Green River Honey 1/10/50 mL Btl,201078,Bardstown Green River,191710,Shop Rite Wine & Spirits Stanhope,7/29/2026,1.00,,1.00,
Derrick Laws,Leyenda 1925 Blanco Tequila 1/750 ML Btl,200217,Leyenda 1925,23004,Shop Rite Wines/Spirits,7/29/2026,1.00,,0.50,
Derrick Laws,Leyenda 1925 Reposado Tequila 1/750 ML Btl,200218,Leyenda 1925,23004,Shop Rite Wines/Spirits,7/29/2026,1.00,,0.50,
Dave Ehlers,Le Grand Noir Pinot Noir 1/12/750 mL Btl,100122,Le Grand Noir,40001,Bottle & Cork,7/29/2026,1.00,,1.00,
Jim Heaney,Leyenda 1925 Reposado Tequila 1/750 ML Btl,200218,Leyenda 1925,29003,Liquor Shed,7/29/2026,1.00,,0.17,
Klejdi Lamo,Green River Honey 1/10/50 mL Btl,201078,Bardstown Green River,191608,Shop-Rite(A) Netcong,7/29/2026,1.00,,1.00,
Derrick Laws,Leyenda 1925 Anejo Tequila 1/750 ML Btl,200216,Leyenda 1925,23004,Shop Rite Wines/Spirits,7/29/2026,1.00,,0.50,
Jim Heaney,Leyenda 1925 Blanco Tequila 1/750 ML Btl,200217,Leyenda 1925,29003,Liquor Shed,7/29/2026,1.00,,0.17,
Klejdi Lamo,Leyenda 1925 Blanco Tequila 1/750 ML Btl,200217,Leyenda 1925,190302,Basket Of Cheer Ii (Lake Hiawatha),7/28/2026,1.00,,1.00,
Chris Payton,Le Grand Noir Pinot Noir 1/12/750 mL Btl,100122,Le Grand Noir,50016,Teaneck Quickshop(P)Conv,7/28/2026,1.00,,1.00,
Chris Payton,Leyenda 1925 Reposado Tequila 1/750 ML Btl,200218,Leyenda 1925,38021,Buy Rite Of Main St Lodi,7/28/2026,1.00,,0.17,
Chris Payton,Leyenda 1925 Blanco Tequila 1/750 ML Btl,200217,Leyenda 1925,38021,Buy Rite Of Main St Lodi,7/28/2026,1.00,,0.17,
Nick Melissari,Leyenda 1925 Anejo Tequila 1/750 ML Btl,200216,Leyenda 1925,80011,Casa De Montecristo,7/27/2026,1.00,,0.50,
Nick Melissari,Leyenda 1925 Reposado Tequila 1/750 ML Btl,200218,Leyenda 1925,80011,Casa De Montecristo,7/27/2026,1.00,,0.50,
Phil Ernst,Leyenda 1925 Reposado Tequila 1/750 ML Btl,200218,Leyenda 1925,80026,Stew Leonard's(A) Paramus Wine,7/24/2026,1.00,,1.00,
Chris Payton,Leyenda 1925 Blanco Tequila 1/750 ML Btl,200217,Leyenda 1925,34001,Meadowland Wine & Liquor,7/24/2026,1.00,,1.00,
Mike Ast,Leyenda 1925 Anejo Tequila 1/750 ML Btl,200216,Leyenda 1925,84022,Park West Tavern,7/24/2026,1.00,,0.17,
Mike Ast,Leyenda 1925 Reposado Tequila 1/750 ML Btl,200218,Leyenda 1925,84022,Park West Tavern,7/24/2026,1.00,,0.17,
Matt Powierski,Le Grand Noir Cabernet Sauvignon 1/12/750 mL Btl,100121,Le Grand Noir,32017,Wine Grand (Carlstadt),7/24/2026,1.00,,1.00,
Mike Ast,Leyenda 1925 Blanco Tequila 1/750 ML Btl,200217,Leyenda 1925,84022,Park West Tavern,7/24/2026,1.00,,0.17,
Matt Powierski,Le Grand Noir Pinot Noir 1/12/750 mL Btl,100122,Le Grand Noir,32017,Wine Grand (Carlstadt),7/24/2026,1.00,,1.00,
Phil Ernst,Leyenda 1925 Anejo Tequila 1/750 ML Btl,200216,Leyenda 1925,80026,Stew Leonard's(A) Paramus Wine,7/24/2026,1.00,,1.00,
Chris Payton,Leyenda 1925 Blanco Tequila 1/750 ML Btl,200217,Leyenda 1925,25045,Clifton Disc Liq (A),7/24/2026,1.00,,0.50,
Chris Payton,Leyenda 1925 Reposado Tequila 1/750 ML Btl,200218,Leyenda 1925,25045,Clifton Disc Liq (A),7/24/2026,1.00,,0.50,
Chris Payton,Leyenda 1925 Reposado Tequila 1/750 ML Btl,200218,Leyenda 1925,34001,Meadowland Wine & Liquor,7/24/2026,1.00,,1.00,
Phil Ernst,Leyenda 1925 Blanco Tequila 1/750 ML Btl,200217,Leyenda 1925,80026,Stew Leonard's(A) Paramus Wine,7/24/2026,1.00,,1.00,
Chris Payton,Leyenda 1925 Blanco Tequila 1/750 ML Btl,200217,Leyenda 1925,34009,The Wine Rack Hasbrouck Hts,7/23/2026,1.00,,0.17,
Klejdi Lamo,Leyenda 1925 Reposado Tequila 1/750 ML Btl,200218,Leyenda 1925,190101,Montville Wine & Spirits,7/22/2026,1.00,,0.33,
Klejdi Lamo,Le Grand Noir Pinot Noir 1/12/750 mL Btl,100122,Le Grand Noir,190101,Montville Wine & Spirits,7/22/2026,1.00,,1.00,
Klejdi Lamo,Leyenda 1925 Blanco Tequila 1/750 ML Btl,200217,Leyenda 1925,190101,Montville Wine & Spirits,7/22/2026,1.00,,0.50,
Chris Payton,Leyenda 1925 Blanco Tequila 1/750 ML Btl,200217,Leyenda 1925,38040,Buy Rite Discount Liquor,7/22/2026,1.00,,1.00,
Klejdi Lamo,Leyenda 1925 Anejo Tequila 1/750 ML Btl,200216,Leyenda 1925,190101,Montville Wine & Spirits,7/22/2026,1.00,,0.17,
Jim Heaney,Le Grand Noir Pinot Noir 1/12/750 mL Btl,100122,Le Grand Noir,28011,Liquor Mart (North Arlington),7/22/2026,1.00,,1.00,
Jim Heaney,Le Grand Noir Cabernet Sauvignon 1/12/750 mL Btl,100121,Le Grand Noir,28011,Liquor Mart (North Arlington),7/22/2026,1.00,,1.00,
Dan Lagala,Le Grand Noir Pinot Noir 1/12/750 mL Btl,100122,Le Grand Noir,43005,Rome Liquors (Fairview),7/20/2026,1.00,,1.00,
Dan Lagala,Le Grand Noir Pinot Noir 1/12/750 mL Btl,100122,Le Grand Noir,46012,Jay Cee (P) Deli & Liq.,7/20/2026,1.00,,1.00,
Dan Lagala,Le Grand Noir Cabernet Sauvignon 1/12/750 mL Btl,100121,Le Grand Noir,43005,Rome Liquors (Fairview),7/20/2026,1.00,,1.00,
Shane Barreca,Le Grand Noir Pinot Noir 1/12/750 mL Btl,100122,Le Grand Noir,75004,Cork & Keg (A),7/20/2026,1.00,,1.00,
Dan Lagala,Le Grand Noir Cabernet Sauvignon 1/12/750 mL Btl,100121,Le Grand Noir,46012,Jay Cee (P) Deli & Liq.,7/20/2026,1.00,,1.00,
Pablo Lopez,Leyenda 1925 Blanco Tequila 1/750 ML Btl,200217,Leyenda 1925,27021,Johnny's Liqs (P),7/17/2026,1.00,,1.00,
Jim Heaney,Leyenda 1925 Blanco Tequila 1/750 ML Btl,200217,Leyenda 1925,29009,Quick Buy,7/15/2026,1.00,,0.33,
Jim Heaney,Leyenda 1925 Reposado Tequila 1/750 ML Btl,200218,Leyenda 1925,29009,Quick Buy,7/15/2026,1.00,,0.33,
Jim Heaney,Leyenda 1925 Anejo Tequila 1/750 ML Btl,200216,Leyenda 1925,29009,Quick Buy,7/15/2026,1.00,,0.33,
Phil Ernst,Le Grand Noir Pinot Noir 1/12/750 mL Btl,100122,Le Grand Noir,38018,THE BOTTLE SHOP,7/14/2026,1.00,,1.00,
Mike Ast,Leyenda 1925 Reposado Tequila 1/750 ML Btl,200218,Leyenda 1925,18001,Grand Opening Liq (A)_2,7/13/2026,1.00,,1.00,
Jim Heaney,Leyenda 1925 Blanco Tequila 1/750 ML Btl,200217,Leyenda 1925,25008,Clifton Commons S & W,7/3/2026,1.00,,1.00,
Javier Melo,Leyenda 1925 Blanco Tequila 1/750 ML Btl,200217,Leyenda 1925,32011,La Fortaleza (Carlstadt),7/2/2026,1.00,,5.00,
Matt Powierski,Le Grand Noir Cabernet Sauvignon 1/12/750 mL Btl,100121,Le Grand Noir,32017,Wine Grand (Carlstadt),6/26/2026,1.00,,1.00,
Javier Melo,Le Grand Noir Cabernet Sauvignon 1/12/750 mL Btl,100121,Le Grand Noir,25047,Parker Liquors (Z),6/25/2026,1.00,,1.00,
